09/13/21;12:00AM;BUY,BTC/USD Ask-0.8457660949287864;SELL,ETH/BTC Bid-0.8457660949287864EUR/USD Bid-0.8457660949287864;12386206.014018608;0
09/13/21;12:05AM;BUY,BTC/USD Ask-10480265.863992866;SELL,ETH/BTC Bid-10480265.863992866EUR/USD Bid-10480265.863992866;44511700.66588148;0
09/13/21;12:10AM;BUY,BTC/USD Ask-10480265.863992866;SELL,ETH/BTC Bid-10480265.863992866EUR/USD Bid-10480265.863992866;44511700.66588148;0
09/13/21;12:15AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;12:20AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;12:25AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;12:30AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;12:35AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;12:40AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;12:45AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;12:50AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;12:55AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;01:00AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;01:05AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;01:10AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
